image_name,template_key
0001_top_20250626_t1,DJI_0585
0001_top_20250702_t1,DJI_0581
0001_top_20250703_t1,DJI_0570
0001_top_20250707_t1,DJI_0585
0001_top_20250711_t1,DJI_0581
0002_top_20250626_t1,DJI_0585
0002_top_20250704_t1,DJI_0570
0002_top_20250705_t1,DJI_0581
0002_top_20250711_t1,DJI_0581
0003_top_20250626_t1,DJI_0585
0003_top_20250711_t1,DJI_0581
0004_top_20250623_t1,DJI_0570
0004_top_20250702_t1,DJI_0581
0004_top_20250703_t1,DJI_0581
0004_top_20250709_t1,DJI_0585
0005_top_20250704_t1,DJI_0570
0005_top_20250709_t1,DJI_0570
0006_top_20250624_t1,DJI_0570
0006_top_20250703_t1,DJI_0570
0007_top_20250623_t1,DJI_0570
0007_top_20250702_t1,DJI_0581
0007_top_20250703_t1,DJI_0570
0007_top_20250704_t1,DJI_0570
0007_top_20250705_t1,DJI_0581
0008_top_20250626_t1,DJI_0585
0008_top_20250707_t1,DJI_0585
0008_top_20250709_t1,DJI_0570
0009_top_20250703_t1,DJI_0570
0009_top_20250704_t1,DJI_0570
0009_top_20250705_t1,DJI_0581
0009_top_20250707_t1,DJI_0585
0010_top_20250623_t1,DJI_0570
0010_top_20250704_t1,DJI_0570
0010_top_20250708_t1,DJI_0585
0011_top_20250630_t1,DJI_0582
0011_top_20250703_t1,DJI_0582
0011_top_20250704_t1,DJI_0582
0011_top_20250708_t1,DJI_0570
0011_top_20250711_t1,DJI_0576
0012_top_20250630_t1,DJI_0585
0012_top_20250703_t1,DJI_0570
0012_top_20250704_t1,DJI_0582
0013_a_top_20250702_t1,DJI_0585
0013_top_20250704_t1,DJI_0581
0013_top_20250711_t1,DJI_0581
0014_top_20250704_t1,DJI_0576
0014_top_20250707_t1,DJI_0583
0014_top_20250708_t1,DJI_0581
0015_top_20250624_t1,DJI_0570
0015_top_20250626_t1,DJI_0585
0017_top_20250702_t1,DJI_0581
0017_top_20250708_t1,DJI_0587
0017_top_20250711_t1,DJI_0579
0018_top_20250702_t1,DJI_0580
0019_top_20250703_t1,DJI_0570
0019_top_20250707_t1,DJI_0587
0019_top_20250711_t1,DJI_0574
0020_top_20250703_t1,DJI_0581
0020_top_20250711_t1,DJI_0581
0021_top_20250619_t1,DJI_0585
0021_top_20250626_t1,DJI_0576
0022_top_20250626_t1,DJI_0584
0022_top_20250702_t1,DJI_0587
0023_top_20250711_t1,DJI_0585
0025_top_20250707_t1,DJI_0585
0026_top_20250623_t1,DJI_0570
0027_top_20250623_t1,DJI_0570
0027_top_20250709_t1,DJI_0570
0028_top_20250704_t1,DJI_0581
0028_top_20250707_t1,DJI_0585
0028_top_20250709_t1,DJI_0570
0029_top_20250619_t1,DJI_0585
0029_top_20250704_t1,DJI_0570
0029_top_20250707_t1,DJI_0585
0030_top_20250623_t1,DJI_0570
0031_top_20250703_t1,DJI_0581
0033_top_20250707_t1,DJI_0585
0034_top_20250704_t1,DJI_0581
0039_top_20250704_t1,DJI_0581
0040_top_20250623_t1,DJI_0581
0041_top_20250704_t1,DJI_0570
0043_top_20250623_t1,DJI_0581
0044_top_20250623_t1,DJI_0581
0045_top_20250626_t1,DJI_0585
0047_top_20250623_t1,DJI_0581
